FIRST / FOLLOW table
Nonterminal	FIRST	FOLLOW
Program'	{:}	{$}
Program	{:}	{$}
StatementList	{VARIABLE}	{:}
Statement	{VARIABLE}	{VARIABLE,:}
VarType	{INTEGER,REAL}	{VARIABLE,:}
ArithmeticExpression	{NUMINT,NUMREAL,VARIABLE,(}	{+,-,),OP_REL,AND,OR,TO,THEN,ASSIGN,READ,PRINT,IF,WHILE,BEGIN}
ArithmeticTerm	{NUMINT,NUMREAL,VARIABLE,(}	{+,-,*,/,),OP_REL,AND,OR,TO,THEN,ASSIGN,READ,PRINT,IF,WHILE,BEGIN}
ArithmeticFactor	{NUMINT,NUMREAL,VARIABLE,(}	{+,-,*,/,),OP_REL,AND,OR,TO,THEN,ASSIGN,READ,PRINT,IF,WHILE,BEGIN}
RelationalExpression	{(,NUMINT,NUMREAL,VARIABLE}	{AND,OR,),THEN,ASSIGN,READ,PRINT,IF,WHILE,BEGIN}
RelationalTerm	{(,NUMINT,NUMREAL,VARIABLE}	{AND,OR,),THEN,ASSIGN,READ,PRINT,IF,WHILE,BEGIN}
BooleanOperator	{AND,OR}	{(,NUMINT,NUMREAL,VARIABLE}
CommandList	{ASSIGN,READ,PRINT,IF,WHILE,BEGIN}	{$,END}
Command	{ASSIGN,READ,PRINT,IF,WHILE,BEGIN}	{ASSIGN,READ,PRINT,IF,WHILE,BEGIN,$,ELSE,END}
AssignCmd	{ASSIGN}	{ASSIGN,READ,PRINT,IF,WHILE,BEGIN,$,ELSE,END}
InCmd	{READ}	{ASSIGN,READ,PRINT,IF,WHILE,BEGIN,$,ELSE,END}
OutCmd	{PRINT}	{ASSIGN,READ,PRINT,IF,WHILE,BEGIN,$,ELSE,END}
ConditionCmd	{IF}	{ASSIGN,READ,PRINT,IF,WHILE,BEGIN,$,ELSE,END}
RepeatCmd	{WHILE}	{ASSIGN,READ,PRINT,IF,WHILE,BEGIN,$,ELSE,END}
SubAlgorithm	{BEGIN}	{ASSIGN,READ,PRINT,IF,WHILE,BEGIN,$,ELSE,END}
