SLR closure table
Goto	Kernel	State	Closure
{PROGRAM' -> .PROGRAM}	0	{PROGRAM' -> .PROGRAM; PROGRAM -> .Delim KwStatements STATEMENTLIST Delim KwAlgorithm COMMANDLIST}
goto(0, PROGRAM)	{PROGRAM' -> PROGRAM.}	1	{PROGRAM' -> PROGRAM.}
goto(0, Delim)	{PROGRAM -> Delim.KwStatements STATEMENTLIST Delim KwAlgorithm COMMANDLIST}	2	{PROGRAM -> Delim.KwStatements STATEMENTLIST Delim KwAlgorithm COMMANDLIST}
goto(2, KwStatements)	{PROGRAM -> Delim KwStatements.STATEMENTLIST Delim KwAlgorithm COMMANDLIST}	3	{PROGRAM -> Delim KwStatements.STATEMENTLIST Delim KwAlgorithm COMMANDLIST; STATEMENTLIST -> .STATEMENT STATEMENTLIST; STATEMENTLIST -> .STATEMENT; STATEMENT -> .Var Delim VARTYPE}
goto(3, STATEMENTLIST)	{PROGRAM -> Delim KwStatements STATEMENTLIST.Delim KwAlgorithm COMMANDLIST}	4	{PROGRAM -> Delim KwStatements STATEMENTLIST.Delim KwAlgorithm COMMANDLIST}
goto(3, STATEMENT)	{STATEMENTLIST -> STATEMENT.STATEMENTLIST; STATEMENTLIST -> STATEMENT.}	5	{STATEMENTLIST -> STATEMENT.STATEMENTLIST; STATEMENTLIST -> STATEMENT.; STATEMENTLIST -> .STATEMENT STATEMENTLIST; STATEMENTLIST -> .STATEMENT; STATEMENT -> .Var Delim VARTYPE}
goto(3, Var)	{STATEMENT -> Var.Delim VARTYPE}	6	{STATEMENT -> Var.Delim VARTYPE}
goto(4, Delim)	{PROGRAM -> Delim KwStatements STATEMENTLIST Delim.KwAlgorithm COMMANDLIST}	7	{PROGRAM -> Delim KwStatements STATEMENTLIST Delim.KwAlgorithm COMMANDLIST}
goto(5, STATEMENTLIST)	{STATEMENTLIST -> STATEMENT STATEMENTLIST.}	8	{STATEMENTLIST -> STATEMENT STATEMENTLIST.}
goto(5, STATEMENT)	{STATEMENTLIST -> STATEMENT.STATEMENTLIST; STATEMENTLIST -> STATEMENT.}	5	 
goto(5, Var)	{STATEMENT -> Var.Delim VARTYPE}	6	 
goto(6, Delim)	{STATEMENT -> Var Delim.VARTYPE}	9	{STATEMENT -> Var Delim.VARTYPE; VARTYPE -> .KwInteger; VARTYPE -> .KwReal}
